#mGo	mLSP	Total	Counts	genWeight
1550	0	2076267	106643	106643.000
1550	1050	2076267	106843	106843.000
1550	1300	2076267	159380	159380.000
1550	1250	2076267	160280	160280.000
1550	1175	2076267	159444	159444.000
1550	200	2076267	106532	106532.000
1550	150	2076267	106335	106335.000
#mGo	mLSP	Total	Counts	genWeight
1600	150	2166989	54165	54165.000
1600	0	2166989	54068	54068.000
1600	550	2166989	54107	54107.000
1600	100	2166989	53985	53985.000
1650	1050	2166989	54688	54688.000
1600	1050	2166989	54052	54052.000
1600	600	2166989	53989	53989.000
1650	0	2166989	55147	55147.000
1600	1200	2166989	162589	162589.000
1600	1150	2166989	53994	53994.000
1600	1000	2166989	54038	54038.000
1600	700	2166989	54176	54176.000
1600	250	2166989	54049	54049.000
1600	1300	2166989	162443	162443.000
1600	850	2166989	53817	53817.000
1600	1100	2166989	54081	54081.000
1600	400	2166989	54133	54133.000
1600	650	2166989	54154	54154.000
1600	350	2166989	54368	54368.000
1600	200	2166989	53749	53749.000
1600	1250	2166989	162339	162339.000
1600	950	2166989	54431	54431.000
1600	800	2166989	54053	54053.000
1650	1000	2166989	54742	54742.000
1600	500	2166989	54030	54030.000
1600	750	2166989	54400	54400.000
1600	50	2166989	54483	54483.000
1650	100	2166989	54792	54792.000
1600	300	2166989	53863	53863.000
1600	1350	2166989	162126	162126.000
1600	900	2166989	53858	53858.000
1600	450	2166989	54080	54080.000
#mGo	mLSP	Total	Counts	genWeight
1650	800	2160835	54490	54490.000
1650	950	2160835	54638	54638.000
1650	1250	2160835	164138	164138.000
1650	1400	2160835	164620	164620.000
1700	1200	2160835	51904	51904.000
1650	400	2160835	51262	51262.000
1650	850	2160835	54970	54970.000
1650	1300	2160835	160426	160426.000
1650	300	2160835	54849	54849.000
1650	750	2160835	51319	51319.000
1650	1200	2160835	54747	54747.000
1700	1100	2160835	55748	55748.000
1650	200	2160835	54936	54936.000
1650	350	2160835	54804	54804.000
1650	650	2160835	54783	54783.000
1650	1100	2160835	54586	54586.000
1650	250	2160835	54725	54725.000
1650	550	2160835	51125	51125.000
1650	700	2160835	54914	54914.000
1650	1150	2160835	54871	54871.000
1650	150	2160835	47741	47741.000
1650	450	2160835	54576	54576.000
1650	600	2160835	54634	54634.000
1700	1050	2160835	52013	52013.000
1650	900	2160835	54653	54653.000
1700	1150	2160835	56022	56022.000
1700	1000	2160835	55652	55652.000
1650	1350	2160835	164550	164550.000
1650	50	2160835	54782	54782.000
1700	100	2160835	55464	55464.000
1700	0	2160835	48676	48676.000
1650	500	2160835	54217	54217.000
#mGo	mLSP	Total	Counts	genWeight
1700	1450	2223595	166605	166605.000
1700	700	2223595	55579	55579.000
1750	1200	2223595	56282	56282.000
1750	1250	2223595	56169	56169.000
1750	1000	2223595	56295	56295.000
1700	600	2223595	55533	55533.000
1750	0	2223595	56312	56312.000
1750	1150	2223595	56599	56599.000
1700	550	2223595	55514	55514.000
1750	100	2223595	56247	56247.000
1700	150	2223595	55604	55604.000
1700	1400	2223595	166727	166727.000
1700	450	2223595	55441	55441.000
1750	1050	2223595	56185	56185.000
1700	1350	2223595	166496	166496.000
1750	1300	2223595	56120	56120.000
1700	50	2223595	55393	55393.000
1700	900	2223595	51718	51718.000
1700	750	2223595	55621	55621.000
1700	300	2223595	55490	55490.000
1700	950	2223595	55485	55485.000
1700	1250	2223595	55567	55567.000
1700	500	2223595	55388	55388.000
1700	350	2223595	55437	55437.000
1700	800	2223595	55478	55478.000
1700	650	2223595	55686	55686.000
1700	200	2223595	55556	55556.000
1700	850	2223595	55411	55411.000
1700	400	2223595	55259	55259.000
1700	250	2223595	55422	55422.000
1750	1100	2223595	56453	56453.000
1700	1300	2223595	166523	166523.000
#mGo	mLSP	Total	Counts	genWeight
1750	500	1517159	56279	56279.000
1750	450	1517159	56050	56050.000
1750	600	1517159	56099	56099.000
1750	150	1517159	56045	56045.000
1750	1350	1517159	169044	169044.000
1750	300	1517159	56111	56111.000
1750	1400	1517159	168569	168569.000
1750	250	1517159	55986	55986.000
1750	1450	1517159	168912	168912.000
1750	400	1517159	56310	56310.000
1750	750	1517159	56181	56181.000
1750	900	1517159	56220	56220.000
1750	50	1517159	56103	56103.000
1750	850	1517159	56081	56081.000
1750	200	1517159	56006	56006.000
1750	950	1517159	56127	56127.000
1750	550	1517159	56185	56185.000
1750	700	1517159	56174	56174.000
1750	650	1517159	56300	56300.000
1750	800	1517159	56437	56437.000
1750	350	1517159	55940	55940.000
#mGo	mLSP	Total	Counts	genWeight
1800	750	2286619	57157	57157.000
1800	1400	2286619	170987	170987.000
1800	450	2286619	57071	57071.000
1800	300	2286619	57362	57362.000
1800	950	2286619	56544	56544.000
1800	0	2286619	56738	56738.000
1800	500	2286619	57189	57189.000
1800	350	2286619	57149	57149.000
1800	50	2286619	57167	57167.000
1850	1100	2286619	57697	57697.000
1800	1250	2286619	56750	56750.000
1800	1100	2286619	57085	57085.000
1800	800	2286619	57178	57178.000
1800	650	2286619	57272	57272.000
1800	1300	2286619	57066	57066.000
1800	1150	2286619	57058	57058.000
1800	200	2286619	57122	57122.000
1800	850	2286619	56863	56863.000
1800	700	2286619	57243	57243.000
1850	1000	2286619	58037	58037.000
1800	400	2286619	57225	57225.000
1800	250	2286619	57053	57053.000
1800	1450	2286619	171042	171042.000
1800	1000	2286619	57155	57155.000
1850	100	2286619	57953	57953.000
1800	550	2286619	57152	57152.000
1800	1200	2286619	57060	57060.000
1800	1050	2286619	57058	57058.000
1800	100	2286619	56888	56888.000
1800	600	2286619	57259	57259.000
1850	1050	2286619	57871	57871.000
1800	150	2286619	57039	57039.000
1850	1150	2286619	57544	57544.000
1850	0	2286619	57806	57806.000
1800	1350	2286619	56784	56784.000
1800	900	2286619	56995	56995.000
#mGo	mLSP	Total	Counts	genWeight
1850	1400	2307677	57782	57782.000
1850	750	2307677	56114	56114.000
1850	800	2307677	57574	57574.000
1850	150	2307677	57891	57891.000
1850	1250	2307677	57866	57866.000
1850	200	2307677	57995	57995.000
1900	1300	2307677	57148	57148.000
1850	650	2307677	57752	57752.000
1850	50	2307677	57685	57685.000
1900	1250	2307677	58680	58680.000
1900	1150	2307677	58544	58544.000
1850	500	2307677	58041	58041.000
1850	950	2307677	57792	57792.000
1900	1400	2307677	56869	56869.000
1850	350	2307677	57745	57745.000
1850	1450	2307677	173547	173547.000
1850	400	2307677	57889	57889.000
1900	200	2307677	59100	59100.000
1900	150	2307677	55114	55114.000
1850	850	2307677	57758	57758.000
1850	1300	2307677	57526	57526.000
1850	250	2307677	56436	56436.000
1900	1050	2307677	58377	58377.000
1850	700	2307677	57936	57936.000
1900	1350	2307677	58580	58580.000
1900	1200	2307677	56741	56741.000
1850	1200	2307677	56158	56158.000
1850	550	2307677	57813	57813.000
1850	600	2307677	57869	57869.000
1900	0	2307677	58600	58600.000
1900	1100	2307677	58592	58592.000
1850	450	2307677	57918	57918.000
1900	100	2307677	58434	58434.000
1850	900	2307677	57822	57822.000
1900	1450	2307677	58503	58503.000
1850	1350	2307677	56434	56434.000
1850	300	2307677	56388	56388.000
1900	1000	2307677	58664	58664.000
#mGo	mLSP	Total	Counts	genWeight
1950	1050	2340769	59241	59241.000
1950	1100	2340769	59434	59434.000
1950	1250	2340769	59391	59391.000
1950	150	2340769	59587	59587.000
1900	50	2340769	58433	58433.000
1900	350	2340769	58213	58213.000
1950	1150	2340769	59435	59435.000
1900	650	2340769	54378	54378.000
1900	950	2340769	54824	54824.000
1950	1350	2340769	59369	59369.000
1900	500	2340769	58544	58544.000
1950	0	2340769	58385	58385.000
1900	800	2340769	58400	58400.000
1950	450	2340769	59518	59518.000
1950	1000	2340769	56629	56629.000
1950	1450	2340769	59344	59344.000
1950	1200	2340769	59413	59413.000
1950	350	2340769	59342	59342.000
1950	100	2340769	59324	59324.000
1950	550	2340769	59319	59319.000
1900	450	2340769	58419	58419.000
1900	750	2340769	58627	58627.000
1950	1300	2340769	58897	58897.000
1900	300	2340769	54556	54556.000
1950	200	2340769	59470	59470.000
1900	600	2340769	58469	58469.000
1950	250	2340769	59164	59164.000
1950	400	2340769	59184	59184.000
1950	650	2340769	59304	59304.000
1950	500	2340769	59071	59071.000
1950	1400	2340769	59475	59475.000
1950	300	2340769	59225	59225.000
1900	700	2340769	58458	58458.000
1900	250	2340769	58471	58471.000
1900	550	2340769	54587	54587.000
1900	850	2340769	58740	58740.000
1900	900	2340769	59091	59091.000
1900	400	2340769	58345	58345.000
1950	50	2340769	59500	59500.000
1950	600	2340769	59193	59193.000
#mGo	mLSP	Total	Counts	genWeight
1950	800	355766	59352	59352.000
1950	750	355766	59153	59153.000
1950	950	355766	59475	59475.000
1950	700	355766	59440	59440.000
1950	900	355766	59218	59218.000
1950	850	355766	59128	59128.000
#mGo	mLSP	Total	Counts	genWeight
600	275	1815720	452649	452649.000
600	325	1815720	457748	457748.000
600	250	1815720	447772	447772.000
600	300	1815720	457551	457551.000
#mGo	mLSP	Total	Counts	genWeight
625	325	1783287	355884	355884.000
625	275	1783287	356888	356888.000
625	350	1783287	355811	355811.000
625	300	1783287	356387	356387.000
625	375	1783287	358317	358317.000
#mGo	mLSP	Total	Counts	genWeight
650	200	1774969	285220	285220.000
650	325	1774969	285478	285478.000
