#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1850	1550	31135695	31135695.000	16221	16221.000
1450	0	31135695	31135695.000	18841	18841.000
1750	1525	31135695	31135695.000	16125	16125.000
1450	900	31135695	31135695.000	22340	22340.000
1900	1100	31135695	31135695.000	20202	20202.000
1450	1200	31135695	31135695.000	21157	21157.000
1100	300	31135695	31135695.000	134287	134287.000
1350	800	31135695	31135695.000	28286	28286.000
1550	1325	31135695	31135695.000	20408	20408.000
1900	100	31135695	31135695.000	20136	20136.000
1850	900	31135695	31135695.000	15600	15600.000
1550	1250	31135695	31135695.000	19669	19669.000
1850	300	31135695	31135695.000	24344	24344.000
1300	400	31135695	31135695.000	39835	39835.000
2250	900	31135695	31135695.000	18816	18816.000
1500	400	31135695	31135695.000	20093	20093.000
1800	300	31135695	31135695.000	19589	19589.000
1500	700	31135695	31135695.000	21381	21381.000
1550	1050	31135695	31135695.000	18140	18140.000
1750	1000	31135695	31135695.000	18905	18905.000
1650	850	31135695	31135695.000	19556	19556.000
900	450	31135695	31135695.000	149881	149881.000
850	350	31135695	31135695.000	143791	143791.000
1200	300	31135695	31135695.000	67936	67936.000
1600	200	31135695	31135695.000	19684	19684.000
1250	850	31135695	31135695.000	54948	54948.000
1300	450	31135695	31135695.000	35521	35521.000
1250	900	31135695	31135695.000	50913	50913.000
1650	1200	31135695	31135695.000	19627	19627.000
1500	750	31135695	31135695.000	18937	18937.000
1500	650	31135695	31135695.000	20465	20465.000
1400	1150	31135695	31135695.000	20640	20640.000
2300	1600	31135695	31135695.000	21941	21941.000
2100	600	31135695	31135695.000	22895	22895.000
1400	550	31135695	31135695.000	23520	23520.000
2100	1000	31135695	31135695.000	18231	18231.000
1100	850	31135695	31135695.000	135991	135991.000
1850	1150	31135695	31135695.000	19037	19037.000
650	425	31135695	31135695.000	225022	225022.000
1450	1150	31135695	31135695.000	21294	21294.000
1650	400	31135695	31135695.000	20105	20105.000
950	300	31135695	31135695.000	147729	147729.000
2200	400	31135695	31135695.000	20496	20496.000
600	100	31135695	31135695.000	377325	377325.000
1750	850	31135695	31135695.000	20323	20323.000
1900	400	31135695	31135695.000	20730	20730.000
1800	1350	31135695	31135695.000	17775	17775.000
2100	300	31135695	31135695.000	19659	19659.000
1150	300	31135695	31135695.000	102010	102010.000
1400	1100	31135695	31135695.000	21366	21366.000
1650	900	31135695	31135695.000	17895	17895.000
1200	800	31135695	31135695.000	73344	73344.000
700	475	31135695	31135695.000	145328	145328.000
1950	900	31135695	31135695.000	17539	17539.000
1350	1050	31135695	31135695.000	26112	26112.000
1050	300	31135695	31135695.000	142762	142762.000
1750	1150	31135695	31135695.000	19750	19750.000
1300	1050	31135695	31135695.000	41025	41025.000
1750	1450	31135695	31135695.000	20536	20536.000
2050	1500	31135695	31135695.000	21881	21881.000
1600	1350	31135695	31135695.000	18888	18888.000
1600	1300	31135695	31135695.000	21165	21165.000
2150	0	31135695	31135695.000	20934	20934.000
850	625	31135695	31135695.000	155597	155597.000
1650	1300	31135695	31135695.000	21504	21504.000
2200	900	31135695	31135695.000	20894	20894.000
950	700	31135695	31135695.000	143381	143381.000
750	400	31135695	31135695.000	156752	156752.000
1200	100	31135695	31135695.000	63843	63843.000
1900	300	31135695	31135695.000	21667	21667.000
1800	1450	31135695	31135695.000	19253	19253.000
1900	500	31135695	31135695.000	19499	19499.000
1700	950	31135695	31135695.000	16220	16220.000
1300	200	31135695	31135695.000	41685	41685.000
2200	600	31135695	31135695.000	20950	20950.000
2000	1550	31135695	31135695.000	22280	22280.000
2300	1350	31135695	31135695.000	20780	20780.000
900	400	31135695	31135695.000	152030	152030.000
800	450	31135695	31135695.000	152789	152789.000
1650	0	31135695	31135695.000	23032	23032.000
1400	0	31135695	31135695.000	22691	22691.000
1000	450	31135695	31135695.000	150970	150970.000
2150	1300	31135695	31135695.000	17001	17001.000
1600	750	31135695	31135695.000	20792	20792.000
1550	1300	31135695	31135695.000	19356	19356.000
1350	650	31135695	31135695.000	27737	27737.000
1200	950	31135695	31135695.000	71262	71262.000
2100	1500	31135695	31135695.000	21070	21070.000
1400	450	31135695	31135695.000	18958	18958.000
1900	1000	31135695	31135695.000	16820	16820.000
2050	900	31135695	31135695.000	23021	23021.000
600	350	31135695	31135695.000	358421	358421.000
2050	1350	31135695	31135695.000	22927	22927.000
1100	550	31135695	31135695.000	134472	134472.000
1700	1200	31135695	31135695.000	22689	22689.000
1850	200	31135695	31135695.000	17548	17548.000
1100	100	31135695	31135695.000	148570	148570.000
1300	550	31135695	31135695.000	38952	38952.000
950	550	31135695	31135695.000	158958	158958.000
1750	1200	31135695	31135695.000	20415	20415.000
2000	1150	31135695	31135695.000	20775	20775.000
2250	1250	31135695	31135695.000	21253	21253.000
1250	400	31135695	31135695.000	48434	48434.000
2200	1000	31135695	31135695.000	20370	20370.000
950	600	31135695	31135695.000	152214	152214.000
750	350	31135695	31135695.000	142166	142166.000
1450	650	31135695	31135695.000	19312	19312.000
1500	950	31135695	31135695.000	18756	18756.000
2250	1500	31135695	31135695.000	20198	20198.000
1250	650	31135695	31135695.000	49820	49820.000
1450	750	31135695	31135695.000	19547	19547.000
1000	775	31135695	31135695.000	148289	148289.000
1450	950	31135695	31135695.000	19780	19780.000
900	650	31135695	31135695.000	149131	149131.000
2250	1200	31135695	31135695.000	21563	21563.000
2000	1300	31135695	31135695.000	21666	21666.000
1650	100	31135695	31135695.000	22438	22438.000
1050	450	31135695	31135695.000	157603	157603.000
2150	1250	31135695	31135695.000	22023	22023.000
1550	750	31135695	31135695.000	19533	19533.000
2000	1500	31135695	31135695.000	20806	20806.000
1600	1250	31135695	31135695.000	19106	19106.000
950	500	31135695	31135695.000	141874	141874.000
1300	900	31135695	31135695.000	36370	36370.000
650	400	31135695	31135695.000	226941	226941.000
1900	600	31135695	31135695.000	15907	15907.000
1850	1500	31135695	31135695.000	19946	19946.000
1250	100	31135695	31135695.000	49831	49831.000
850	400	31135695	31135695.000	146440	146440.000
850	550	31135695	31135695.000	162684	162684.000
1300	1000	31135695	31135695.000	42472	42472.000
2100	100	31135695	31135695.000	15883	15883.000
1700	700	31135695	31135695.000	22715	22715.000
