#mGo	mLSP\ISRweight\ISRweight_up\ISRweight_down
2050	1150	1.129547	1.060841	1.207770
1550	300	1.154516	1.071731	1.251160
1600	400	1.149075	1.069380	1.241605
1950	400	1.157589	1.073055	1.256581
1700	1475	1.131043	1.061502	1.210334
1000	700	1.138921	1.064960	1.223922
1350	1100	1.139061	1.065021	1.224165
1800	1200	1.120674	1.056911	1.192625
1350	200	1.156946	1.072778	1.255447
1700	200	1.162429	1.075130	1.265160
1650	600	1.142549	1.066544	1.230219
1600	500	1.146151	1.068111	1.236493
1200	450	1.141862	1.066244	1.229023
750	525	1.150902	1.070171	1.244808
1700	1100	1.122106	1.057548	1.195058
1750	200	1.162837	1.075305	1.265882
1950	500	1.150355	1.069934	1.243847
1150	900	1.141922	1.066272	1.229128
2000	1400	1.116529	1.055063	1.185600
1050	825	1.148655	1.069198	1.240869
1650	800	1.134946	1.063219	1.217052
950	450	1.136492	1.063896	1.219721
800	500	1.140824	1.065791	1.227222
1850	800	1.137176	1.064196	1.220902
1000	200	1.147371	1.068641	1.238625
1200	975	1.144898	1.067567	1.234305
750	500	1.146966	1.068466	1.237917
1400	800	1.132942	1.062338	1.213598
2050	100	1.170521	1.078581	1.279597
1450	1225	1.138660	1.064846	1.223470
1400	500	1.141660	1.066157	1.228672
2250	200	1.170327	1.078497	1.279252
2000	600	1.146404	1.068221	1.236935
1950	0	1.168101	1.077552	1.275264
1550	1150	1.119219	1.056263	1.190155
1900	0	1.169424	1.078115	1.277632
1950	1000	1.132634	1.062202	1.213071
1850	1100	1.126340	1.059425	1.202277
2150	100	1.170579	1.078606	1.279699
1150	850	1.135926	1.063648	1.218743
1350	850	1.128647	1.060444	1.206225
1950	1550	1.110796	1.052496	1.175933
1750	300	1.158152	1.073296	1.257577
2100	500	1.153068	1.071106	1.248613
1600	1100	1.123037	1.057961	1.196644
1850	1550	1.117719	1.055595	1.187612
1450	0	1.162942	1.075350	1.266069
1750	1525	1.129705	1.060912	1.208038
1450	900	1.127484	1.059931	1.204233
1900	1100	1.127926	1.060126	1.204990
1450	1200	1.134776	1.063145	1.216757
1100	300	1.145239	1.067714	1.234902
1350	800	1.130333	1.061188	1.209117
1550	1325	1.135010	1.063247	1.217163
1900	100	1.165933	1.076628	1.271394
1850	900	1.135414	1.063423	1.217861
1550	1250	1.126300	1.059407	1.202209
1850	300	1.159861	1.074030	1.260602
1300	400	1.145274	1.067730	1.234963
2250	900	1.139778	1.065333	1.225410
1500	400	1.149353	1.069501	1.242089
1800	300	1.161512	1.074739	1.263527
1500	700	1.137142	1.064181	1.220845
1550	1050	1.123656	1.058235	1.197698
1750	1000	1.128992	1.060597	1.206817
1650	850	1.134087	1.062841	1.215572
900	450	1.135715	1.063555	1.218379
850	350	1.137174	1.064195	1.220900
1200	300	1.146935	1.068452	1.237863
1600	200	1.158653	1.073511	1.258463
1250	850	1.128123	1.060213	1.205328
1300	450	1.143268	1.066857	1.231470
1250	900	1.125612	1.059103	1.201034
1650	1200	1.119379	1.056334	1.190427
1500	750	1.138059	1.064582	1.222430
1500	650	1.138672	1.064851	1.223492
1400	1150	1.136967	1.064105	1.220541
2300	1600	1.115215	1.054475	1.183379
2100	600	1.147985	1.068907	1.239698
1400	550	1.141683	1.066166	1.228713
2100	1000	1.134471	1.063009	1.216234
1100	850	1.143271	1.066859	1.231472
1850	1150	1.124229	1.058489	1.198675
650	425	1.149046	1.069368	1.241554
1450	1150	1.129163	1.060673	1.207109
1650	400	1.151825	1.070570	1.246429
950	300	1.142120	1.066357	1.229473
2200	400	1.160530	1.074316	1.261789
600	100	1.134614	1.063072	1.216481
1750	850	1.135900	1.063636	1.218698
1900	400	1.155678	1.072232	1.253210
1800	1350	1.115616	1.054655	1.184057
2100	300	1.161605	1.074778	1.263694
1150	300	1.147629	1.068753	1.239076
1400	1100	1.129907	1.061001	1.208385
1650	900	1.133809	1.062719	1.215092
1200	800	1.127968	1.060145	1.205062
700	475	1.149503	1.069565	1.242354
1950	900	1.136213	1.063773	1.219240
